Date,Open,High,Low,Close,Volume,SMA 10,EMA 10,Upper band,Lower band,SMA 50,SMA 100,SMA 20,SMA 200,EMA 20,EMA 50,EMA 100,EMA 200,MACD,MACD Signal Line,MACD Histogram,Stochastic %K,Stochastic %D,Williams %R,CCI,Aroon Up,Aroon Down,SMA 5,EMA 5,SMA 5 Crossover Signal,Bollinger Signal,Stochastic,Stochastic Signal,Williams %R Signal,CCI Signal,Aroon Signal,MACD Signal,RSI,RSI Signal,White Marubozu,Black Marubozu,Bullish Engulfing,Bearish Engulfing,Bullish Harami,Bearish Harami,Tweezer Bottom,Tweezer Top,Piercing Line,Dark Cloud Cover,Morning Star,Evening Star,Three White Soldiers,Three Black Crows,Three Inside Up,Three Inside Down,Three Outside Up,Three Outside Down,Upside Tasuki Gap,Downside Tasuki Gap,Crossover SMA 5/20,Crossover SMA 20/100,Crossover SMA 10/50,Crossover SMA 50/200,Crossover SMA 5/20 Signal,Crossover SMA 10/50 Signal,Crossover SMA 20/100 Signal,Crossover SMA 50/200 Signal
1997-07-24,7.08796,7.08796,7.02553,7.02553,752074.07,7.09331,7.150358404614901,,,,,,,,,,,-0.0335132659187324,-0.0360721370249861,0.0025588711062536,40.05877981217484,,,,,,7.030892,7.058247856695289,0,0,0,0,0,0,0,0,40.10033799690024,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-25,7.0567,7.0567,6.98981,6.98981,600257.22,7.001018999999999,7.12116778559401,,,,,,,,,,,-0.0350860169420714,-0.0358417062955217,0.0007556893534503,67.92597739823725,49.34784567419564,,,,,7.050503999999999,7.03543523779686,0,0,0,0,0,0,0,0,39.34924518961933,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-28,6.92748,6.92748,6.82505,6.82505,625707.49,6.971155,7.06732818821328,,,,,,,,,,,-0.0464105508128112,-0.0382834094939142,-0.0081271413188969,47.840397908056914,51.94171837282301,,,,,6.997922,6.965306825197907,0,0,0,0,0,0,0,-1,35.99981553062361,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-29,6.76252,6.92748,6.76252,6.86058,358116.58,7.0139510000000005,7.029737608538138,,,,,,,,,,,-0.0517245004595166,-0.0413615763102368,-0.0103629241492797,19.996329452068647,45.25423491945427,-71.08573745017232,,,,6.9453000000000005,6.930397883465272,0,0,0,0,0,0,0,0,37.240445912595554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-30,6.86058,7.08796,6.86058,7.02553,399166.2,7.010834,7.0289725888039305,,,,,,,,,,,-0.0436854110400863,-0.0418901727218433,-0.0017952383182429,53.63282285527839,40.48985007180132,-59.94122018782516,,,,6.9453000000000005,6.962108588976848,-1,0,0,0,0,0,0,0,42.7855384435857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-31,6.98981,6.98981,6.82505,6.86058,396911.53,6.971601,6.998355754475943,,,,,,,,,,,-0.0485546301352313,-0.0433982090875164,-0.0051564210477148,22.90800355090396,32.179051952750335,-47.82820709748995,,,,6.91231,6.928265725984566,1,0,0,0,0,0,0,0,39.06816145986678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-01,6.86058,6.98981,6.86058,6.86058,296223.88,6.968483999999999,6.973305617298498,,,,,,,,,,,-0.0515334747234179,-0.0452316202028195,-0.0063018545205983,22.90800355090396,33.149609985695434,-47.82820709748995,,,,6.886463999999999,6.905703817323045,0,0,0,0,0,0,0,0,39.06816145986678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-04,6.92748,6.98981,6.92748,6.95864,420125.67,6.955552,6.970639141426044,,,,,,,,,,,-0.0459688413988992,-0.045397244028888,-0.0005715973700111,45.81600710180813,30.544004734538685,-60.00734109586252,,,,6.913182000000001,6.923349211548697,-1,0,0,0,0,0,0,0,42.51187249820608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-05,6.98981,7.08796,6.98981,7.08796,621217.72,6.951979,6.991970206621309,,,,,,,,,,,-0.0316117828180972,-0.042307738018528,0.0106959552004307,82.9696104425862,50.56454036509943,-33.63649340320974,,,,6.958658,6.978219474365798,0,0,0,0,0,0,0,1,46.78344395523745,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-06,7.08796,7.08796,6.98981,7.02553,454116.7,6.951979,6.998071987235616,7.6744339305910305,6.443069069408969,,,7.0587515,,7.103441115115107,,,,-0.0249656392681973,-0.0384284782331242,0.0134628389649268,80.81674041297933,69.86745265245789,-38.55767883007058,-0.689961347245283,,,6.958658,6.993989649577199,0,0,0,0,0,0,0,0,45.04342784825927,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-07,7.0567,7.52019,7.0567,7.48466,568192.29,6.997892,7.086542535010958,7.590493097774482,6.500708902225519,,,7.045601,,7.139747675580335,,,,0.0152442061878987,-0.0264400181112542,0.041684224299153,95.31062335845414,86.3656580713399,-4.689376641545858,6.929429760889801,,,7.083474,7.157546433051467,0,0,0,0,0,0,0,0,57.54838739336861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1997-08-08,7.3867,7.91272,7.3867,7.7165,1124651.85,7.070561,7.201080255918056,7.505456458909968,6.5661235410900325,,,7.03579,,7.194676468382207,,,,0.0634637269602649,-0.0063817711401755,0.0698454981004405,82.94035819857413,86.35590732333587,-17.059641801425865,14.347791228749951,,,7.254658000000001,7.343864288700978,0,-1,0,0,0,0,0,0,62.22282639893167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-11,7.58291,7.58291,7.35553,7.3867,808415.07,7.126726,7.234829300296591,7.551835063595044,6.546045936404957,,,7.0489405000000005,,7.212964423774378,,,,0.0737197010109618,0.0114736936686228,0.0622460073423389,54.267083985393846,77.50602184747403,-45.73291601460616,8.816809806522665,,,7.340269999999999,7.358142859133986,0,0,-1,-1,-1,0,0,0,53.241640248210494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-12,7.35553,7.58291,7.35553,7.48466,668427.77,7.189134,7.280253063879028,7.548140515556304,6.654944484443694,,,7.101542499999999,,7.238840192938722,,,,0.0882734944201493,0.0285814049703166,0.0596920894498326,60.644313072898925,65.95058508562231,-37.21613632411758,8.380148352504126,,,7.41961,7.400315239422659,0,0,0,0,0,0,0,0,55.30523052818124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-13,7.58291,7.58291,7.58291,7.58291,895932.11,7.244871999999999,7.335281597719205,7.622752150917113,6.632953849082885,,,7.127852999999999,,7.271608745992177,,,,0.1060335505679717,0.0458252051446181,0.0602083454233535,69.67738376529645,61.52959360786307,-28.674143627195285,10.227833264071371,,,7.531085999999999,7.461180159615106,0,0,0,0,0,0,0,0,57.33883005842619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-14,7.31981,7.41786,7.28864,7.31981,388458.32,7.290795,7.332468579952076,7.633372191005636,6.629023808994365,,,7.131198,,7.27619934161197,,,,0.0971034800251366,0.0572369577838362,0.0398665222413004,43.647233257931504,57.98964336537563,-51.54842636063293,4.6936163139354,4.0,12.0,7.498116,7.414056773076737,1,0,0,0,0,0,0,0,50.68785096965481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-18,7.22165,7.22165,7.02553,7.08796,373485.21,7.313533,7.288012474506244,7.635651218068789,6.646365781931211,,,7.1410085,,7.258271785267973,,,,0.0702197281205521,0.0601252818217611,0.0100944462987909,16.28841703544311,43.20434468622369,-71.70579029733963,-0.6683162647075812,0.0,8.0,7.372408,7.305357848717826,0,0,0,0,0,0,0,0,45.66144730338504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-19,7.31981,7.58291,7.31981,7.45359,698697.41,7.363028,7.318117479141472,7.671408231033348,6.647171768966652,,,7.15929,,7.276873520004356,,,,0.0785437671931239,0.0642218791979927,0.0143218879951312,50.2519205556338,36.729190283002815,-42.21225187786737,6.547412778219073,76.0,4.0,7.385786,7.354768565811884,-1,0,0,0,0,0,1,0,53.49366894916506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-20,7.52019,7.52019,7.3867,7.41786,684938.67,7.396018000000001,7.336252482933932,7.700998888423352,6.646998111576649,,,7.173998500000001,,7.290300803813465,,,,0.0809550625825172,0.0679429081387429,0.0130121544437743,46.38047046840969,37.6402693531622,-45.49725560142323,5.965571988591227,72.0,0.0,7.372426,7.37579904387459,0,0,0,0,0,0,0,0,52.69435594221103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-21,7.25291,7.25291,7.19058,7.19058,237351.14,7.412523,7.309766576945944,7.705853250570802,6.6586487494292,,,7.182251000000001,,7.280803584402658,,,,0.0629287368614166,0.06682805508854,-0.0038993182271233,18.60368128585758,38.41202410330036,-68.63535270971545,0.607200737542322,68.0,36.0,7.29396,7.314059362583061,1,0,0,0,0,0,0,-1,47.80143379391181,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-22,7.15476,7.31981,7.15476,7.28864,227456.96,7.392920999999999,7.30592538113759,7.7157222259229155,6.675090774077084,,,7.1954065,,7.2815499096976435,,,,0.0564490079635628,0.0645206459572838,-0.0080716379937209,29.65655609283243,31.546902615699903,-63.34294182128214,1.340665704829171,64.0,32.0,7.287726000000001,7.305586241722041,-1,0,0,0,0,0,0,0,49.96034062891544,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-25,7.19058,7.28864,7.08796,7.08796,213034.9,7.330067,7.266295311839846,7.713954982604007,6.686673017395994,,,7.2003140000000005,,7.263112775440723,,,,0.0339241985417935,0.0577192477839174,-0.0237950492421239,11.200617173203192,19.820284850631072,-89.36516019980286,-1.0564859931584838,60.0,28.0,7.287726000000001,7.233044161148028,1,0,0,0,0,0,0,0,45.78673076975406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-26,7.08796,7.22165,7.08796,7.15476,248498.83,7.306873,7.246016164232601,7.705319718240699,6.728279281759298,,,7.216799499999999,,7.252793463493989,,,,0.0218215883469845,0.0497399939738401,-0.0279184056268556,23.18525960744908,21.34747762449491,-82.12718466589382,-1.3899962709657796,56.0,24.0,7.22796,7.206949440765353,0,0,1,1,0,0,0,0,47.36301495413214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-27,7.15476,7.22165,7.15476,7.19058,233563.83,7.277465000000001,7.235936861644855,7.690828289497007,6.775770710502992,,,7.233299499999999,,7.246868371732656,,,,0.0152789356437139,0.0420804906602995,-0.0268015550165855,29.611754996591166,21.332543925747817,-81.39631871414242,-1.0020362526570603,52.0,20.0,7.182504,7.201492960510235,-1,0,0,0,0,0,0,0,48.232220050161885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0
1997-08-28,7.35553,7.52019,7.35553,7.48466,929878.85,7.26764,7.281159250436699,7.708924286990356,6.803587713009642,,,7.256255999999999,,7.269515193472404,,,,0.0350688607296811,0.0405221148366376,-0.0054532541069564,82.37288743765473,45.056634013898325,-48.24896583595398,4.421026832447056,48.0,16.0,7.24132,7.29588197367349,0,0,0,0,1,0,0,0,54.827456820631234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-29,7.41786,7.41786,7.35553,7.3867,995053.13,7.274329,7.300348477630026,7.704294959531231,6.8608290404687695,,,7.282562,,7.280675651236937,,,,0.0414463367221191,0.0407275216554985,0.0007188150666206,64.79780401162587,58.92748214862393,-35.20219598837412,2.36494995668289,44.0,12.0,7.260931999999999,7.32615464911566,0,0,0,0,0,0,0,1,52.43122502956263,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-01,7.28864,7.35553,7.28864,7.28864,264571.98,7.294397000000001,7.298219663515475,7.686390140542801,6.921539859457199,,,7.303965,,7.281434160642943,,,,0.0373999730557228,0.0399879987083576,-0.0025880256526348,40.545509647439154,62.57206703223992,-52.795220495891485,0.2051452018162978,40.0,8.0,7.301068000000001,7.313649766077107,1,0,0,0,0,0,0,-1,50.07208253035223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-02,7.41786,7.48466,7.41786,7.45359,615322.0,7.294396999999999,7.326468815603571,7.680345977993393,6.977079022006605,,,7.328712499999999,,7.297829954867424,,,,0.0480004760894541,0.0417686760305228,0.0062318000589312,84.59153691321747,63.3116168574275,-23.201406580788657,2.821211819352344,36.0,4.0,7.360834,7.360296510718072,-1,0,0,0,0,0,0,1,53.83497941424779,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1997-09-03,7.52019,7.68534,7.52019,7.64961,1176492.78,7.317572,7.385221758221103,7.707164261234837,7.006425738765165,,,7.356795000000001,,7.331332816308622,,,,0.0724472652948078,0.0485865178946346,0.0238607474001732,94.01888245337976,73.05197633801212,-5.415195283490705,5.926116523259486,32.0,0.0,7.45264,7.456734340478714,0,0,0,0,0,0,0,0,57.89599812406147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
